AIN1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C23:1
C24:1
C3:1
C4:1
C5:1
C6:1
C7:1
C72:1
C73:1
C75:1
C76:1
C77:1
C8:1
C80:1
C81:1
C82:1
C83:1
C84:1
C85:1
C86:1
C87:1
C88:1
C89:1
C9:1
C90:1
C91:1
C92:1
C93:1
C94:1
C95:1
C97:1
C98:1
C99:1
FB1:1
IC1:1
J2:1
J3:1
J5:1
J6:1
J9:1
JP1:1
JP18:1
JP19:1
JP21:1
JP22:1
JP23:1
JP25:1
JP5:1
JP6:1
JP60:1
JP7:1
JP8:1
OSC1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R23:1
R24:1
R25:1
R3:1
R6:1
R67:1
R7:1
R71:1
R72:1
R73:1
R75:1
R8:1
R80:1
R81:1
R82:1
R83:1
R84:1
R85:1
R86:1
R87:1
R88:1
R89:1
R90:1
R91:1
R92:1
R93:1
R94:1
R95:1
REF**:1
TP2:1
TP3:1
TPAVDD1:1
TPAVSS1:1
TPDVDD1:1
U10:1
U11:1
U4:1
