BAT:1
C1:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C21:1
C22:1
C24:1
C26:1
C27:1
C28:1
C3:1
C34:1
C45:1
C46:1
C47:1
C48:1
C49:1
C5:1
C50:1
C51:1
C57:1
C58:1
C59:1
C6:1
C60:1
C61:1
C62:1
C63:1
C64:1
C65:1
C66:1
C67:1
C7:1
C9:1
D2:1
D3:1
D4:1
D5:1
D6:1
D7:1
DC1:1
DC2:1
DC3:1
DD3:1
DD4:1
DD5:1
DF1:1
DL2:1
DR1:1
DR2:1
DR3:1
DR4:1
DR6:1
DR7:1
G***:1
J1:1
L1:1
L2:1
L4:1
L5:1
PC1:1
PC10:1
PC11:1
PC12:1
PC13:1
PC14:1
PC15:1
PC16:1
PC17:1
PC18:1
PC19:1
PC2:1
PC20:1
PC21:1
PC22:1
PC23:1
PC24:1
PC28:1
PC29:1
PC3:1
PC4:1
PC5:1
PC6:1
PC7:1
PC8:1
PC9:1
PD2:1
PD3:1
PL1:1
PL2:1
PL3:1
PL4:1
PL5:1
PQ1:1
PR10:1
PR12:1
PR13:1
PR14:1
PR15:1
PR16:1
PR17:1
PR18:1
PR19:1
PR2:1
PR20:1
PR21:1
PR22:1
PR23:1
PR24:1
PR25:1
PR26:1
PR27:1
PR28:1
PR29:1
PR3:1
PR30:1
PR31:1
PR34:1
PR35:1
PR4:1
PR5:1
PR6:1
PR7:1
PR8:1
PR80:1
PR81:1
PR82:1
PR83:1
PR9:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
REF**:4
SB1:1
SB2:1
SC28:1
SC29:1
SC30:1
SC31:1
SC32:1
SC33:1
SC34:1
SC40:1
SC41:1
SC42:1
SC49:1
SC50:1
SC51:1
SC52:1
SC53:1
SC54:1
SC56:1
SC57:1
SC58:1
SC59:1
SC60:1
SC61:1
SCN14:1
SD10:1
SD6:1
SL3:1
SLD7:1
SLD8:1
SR38:1
SR41:1
SR42:1
SR43:1
SR44:1
SR45:1
SR48:1
SR49:1
SR51:1
SR52:1
SR54:1
SR55:1
ST2:1
SU12:1
SU13:1
SWD1:1
TP1:1
TP2:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
U1:1
U2:1
U3:1
U4:1
U6:1
U8:1
U9:1
