Designator,Mid X,Mid Y,Rotation,Layer
SC56,106.5338,-105.35,90.0,top
SC57,111.150467,-104.35,270.0,top
SC58,109.017133,-104.35,270.0,top
SC59,113.6338,-105.35,90.0,top
SC60,100.85,-104.35,270.0,top
SC61,98.4662,-104.35,270.0,top
SCN14,101.962999,-123.825,0.0,top
SD10,95.337699,-75.909,270.0,top
SD6,104.900499,-118.175,0.0,top
SL3,119.235,-103.069,270.0,top
SLD7,100.299999,-111.928,90.0,top
SLD8,111.299999,-111.928,90.0,top
SR38,91.595,-95.725001,180.0,top
SR41,113.599999,-112.04,90.0,top
SR42,123.37,-107.1064,0.0,top
SR43,123.37,-109.6784,0.0,top
SR44,123.37,-113.1,180.0,top
SR45,102.499999,-112.0,90.0,top
SR48,106.912999,-117.48,90.0,top
SR49,108.815999,-117.335,270.0,top
SR51,114.499999,-117.335,90.0,top
SR52,116.45,-117.4,270.0,top
SR54,101.100001,-75.92,90.0,top
SR55,121.965,-121.01,180.0,top
ST2,107.865199,-112.287,270.0,top
SU12,111.657999,-116.88,90.0,top
SU13,101.612999,-116.875,270.0,top
SWD1,86.478,-78.55,270.0,top
TP1,161.63,-73.57,0.0,top
TP2,137.19,-71.99,0.0,top
TP4,146.02,-121.69,0.0,top
TP5,150.81,-58.48,0.0,top
TP6,129.41,-67.59,180.0,top
TP7,129.55,-35.82,0.0,top
TP8,145.15,-38.75,0.0,top
U1,105.5,-61.0,270.0,top
U2,105.85,-89.975,90.0,top
U3,145.737533,-99.9409,90.0,top
U4,87.8164,-115.384033,90.0,top
U6,136.93,-64.4925,270.0,top
U8,145.3053,-49.2375,90.0,top
U9,131.83,-49.2375,90.0,top
